"","time","cpu"
"1",1545149640,24.98
"2",1545149700,24.7
"3",1545149760,24.59
"4",1545149820,25.39
"5",1545149880,24.62
"6",1545149940,26.03
"7",1545150000,25.07
"8",1545150060,26.97
"9",1545150120,26.27
"10",1545150180,27.32
"11",1545150240,33.92
"12",1545150300,20.71
"13",1545150360,19.93
"14",1545150420,20.57
"15",1545150480,20.93
"16",1545150540,20.16
"17",1545150600,20.26
"18",1545150660,22.26
"19",1545150720,21.34
"20",1545150780,20.34
"21",1545150840,20.46
"22",1545150900,20.31
"23",1545150960,20.83
"24",1545151020,20.71
"25",1545151080,20.43
"26",1545151140,20.19
"27",1545151200,20.92
"28",1545151260,23.28
"29",1545151320,21.22
"30",1545151380,20.94
"31",1545151440,21.33
"32",1545151500,20.78
"33",1545151560,21.6
"34",1545151620,20.9
"35",1545151680,20.6
"36",1545151740,21.5
"37",1545151800,20.95
"38",1545151860,23.99
"39",1545151920,20.84
"40",1545151980,21.09
"41",1545152040,21.76
"42",1545152100,20.75
"43",1545152160,21.04
"44",1545152220,22.03
"45",1545152280,21.44
"46",1545152340,24.64
"47",1545152400,24.15
"48",1545152460,25.95
"49",1545152520,24.92
"50",1545152580,23.94
"51",1545152640,23.63
"52",1545152700,24.54
"53",1545152760,23.63
"54",1545152820,23.9
"55",1545152880,24.38
"56",1545152940,24.13
"57",1545153000,24.1
"58",1545153060,26.49
"59",1545153120,25.04
"60",1545153180,24.04
"61",1545153240,24.29
"62",1545153300,25.42
"63",1545153360,24.43
"64",1545153420,24.48
"65",1545153480,24.72
"66",1545153540,24.53
"67",1545153600,25.42
"68",1545153660,27.09
"69",1545153720,24.54
"70",1545153780,24.71
"71",1545153840,24.61
"72",1545153900,25.38
"73",1545153960,24.59
"74",1545154020,24.67
"75",1545154080,24.69
"76",1545154140,24.83
"77",1545154200,23.38
"78",1545154260,25.47
"79",1545154320,23.48
"80",1545154380,24.52
"81",1545154440,23.35
"82",1545154500,27.56
"83",1545154560,23.12
"84",1545154620,24.12
"85",1545154680,33.27
"86",1545154740,30.97
"87",1545154800,15.73
"88",1545154860,20.8
"89",1545154920,25.53
"90",1545154980,25.72
"91",1545155040,25.67
"92",1545155100,24.52
"93",1545155160,24.45
"94",1545155220,25.21
"95",1545155280,24.21
"96",1545155340,24.94
"97",1545155400,24.31
"98",1545155460,27.11
"99",1545155520,25.57
"100",1545155580,24.71
"101",1545155640,24.92
"102",1545155700,25.41
"103",1545155760,24.7
"104",1545155820,25.22
"105",1545155880,25.43
"106",1545155940,29.65
"107",1545156000,31.85
"108",1545156060,30.8
"109",1545156120,31.94
"110",1545156180,36.82
"111",1545156240,26.16
"112",1545156300,37.15
"113",1545156360,28.85
"114",1545156420,25.64
"115",1545156480,24.71
"116",1545156540,25.42
"117",1545156600,25.76
"118",1545156660,27.27
"119",1545156720,25.24
"120",1545156780,26.15
"121",1545156840,25.17
"122",1545156900,25.82
"123",1545156960,26.28
"124",1545157020,25.39
"125",1545157080,25.2
"126",1545157140,25.38
"127",1545157200,26.45
